# _tick,_time,train_seconds,success_rate,step,mean_episode_return,mean_episode_step,total_loss,entropy_loss,pg_loss,baseline_loss,learner_queue_size
0,1698137912.7133126,25.0,0.0,2560,-0.005390244070440531,17.244140625,-314.1063232421875,-4.11738395690918,-326.58013916015625,16.591176986694336,32
1,1698137918.736049,30.0,0.0,5120,-0.004472972825169563,19.500782012939453,1102.4478759765625,-3.7492051124572754,867.7996215820312,238.39744567871094,32
2,1698137924.4928873,35.1,0.0,7680,-0.005542857572436333,20.468358993530273,-451.1072692871094,-4.116644382476807,-467.8258361816406,20.83521842956543,32
3,1698137930.3093755,40.1,0.0,10240,-0.004479452036321163,19.416406631469727,2209.913818359375,-3.6526567935943604,1548.87060546875,664.69580078125,32
4,1698137936.0847032,45.1,0.0,12800,-0.006414634641259909,20.388280868530273,-384.6454772949219,-4.093220233917236,-387.6699523925781,7.117719650268555,32
5,1698137941.8174112,50.1,0.0,15360,-0.003754386445507407,20.988672256469727,1039.3570556640625,-3.72896146774292,887.2098999023438,155.87620544433594,32
6,1698137947.549112,55.1,0.0,17920,-0.0038750001695007086,19.37890625,218.83590698242188,-4.045444011688232,214.34625244140625,8.535093307495117,32
7,1698137953.3667877,65.1,0.0,20480,-0.005959596484899521,21.117969512939453,-93.25236511230469,-3.8642797470092773,-89.84955596923828,0.4614696502685547,32
8,1698137959.386918,70.1,0.0,23040,-0.004474137909710407,18.606250762939453,236.26986694335938,-1.3944796323776245,145.11181640625,92.55253601074219,32
9,1698137965.3421566,75.1,0.0,25600,-0.004639999940991402,17.356639862060547,-155.84495544433594,-1.872251033782959,-232.899169921875,78.92646789550781,32
10,1698137971.169082,80.1,0.0,28160,-0.002594736870378256,15.444531440734863,327.6113586425781,-3.811788320541382,317.374755859375,14.048406600952148,32
11,1698137977.0496047,85.1,0.0,30720,-0.0013195490464568138,12.716015815734863,-165.9661865234375,-2.92230486869812,-169.05381774902344,6.009934425354004,32
12,1698137982.8118258,95.2,0.0,33280,-0.0011889763409271836,10.510156631469727,84.29136657714844,-4.006006717681885,86.68644714355469,1.610920786857605,32
13,1698137988.6383073,100.2,0.0,35840,-0.0011067616287618876,10.219141006469727,-424.98486328125,-3.3776261806488037,-444.7557373046875,23.148500442504883,32
14,1698137994.6050038,105.2,0.0,38400,-0.002443182049319148,14.960546493530273,146.46807861328125,-3.7000625133514404,145.78070068359375,4.3874311447143555,32
15,1698138000.9586227,110.2,0.0,40960,-0.0015532785328105092,11.315625190734863,-54.463130950927734,-3.054788112640381,-51.66582489013672,0.25747889280319214,32
16,1698138007.1171536,115.2,0.0,43520,-0.0012863249285146594,9.155858993530273,460.401123046875,-1.9914549589157104,379.02734375,83.365234375,32
17,1698138012.999998,125.2,0.0,46080,-0.001032846630550921,10.331250190734863,-13.041526794433594,-3.0595242977142334,-10.040570259094238,0.05856753885746002,32
18,1698138019.0039222,130.2,0.0,48640,-0.0008255813736468554,11.725781440734863,33.86555099487305,-0.7110940217971802,29.91320037841797,4.663445949554443,32
19,1698138024.9195552,135.2,0.0,51200,-0.0006101694307290018,11.517578125,-103.89631652832031,-0.8356666564941406,-188.12869262695312,85.06803894042969,32
20,1698138030.8347566,140.2,0.0,53760,-0.0008862876566126943,9.077733993530273,79.85698699951172,-1.5406620502471924,77.28876495361328,4.108885288238525,32
21,1698138037.026607,145.2,0.0,56320,-0.0006458333227783442,7.492968559265137,-174.4753875732422,-1.525034785270691,-219.2438201904297,46.29347229003906,32
22,1698138044.1469975,155.2,0.0,58880,-0.0005464191781356931,6.201171875,1.966850757598877,-2.730769634246826,4.601324081420898,0.09629649668931961,32
23,1698138051.7415411,160.2,0.0,61440,-0.0004934726166538894,5.471875190734863,-103.63522338867188,-1.0602885484695435,-117.57701873779297,15.002084732055664,32
24,1698138058.7052913,170.2,0.0,64000,-0.0005041096010245383,7.018750190734863,156.03778076171875,-1.3194787502288818,141.61328125,15.743973731994629,32
25,1698138064.9303718,175.2,0.0,66560,-0.00022850123059470206,6.704297065734863,-124.9988784790039,-1.568000316619873,-133.24038696289062,9.809507369995117,32
26,1698138071.916099,180.2,0.0,69120,-0.00038990829489193857,5.314453125,132.95811462402344,-2.2394907474517822,129.30911254882812,5.888495922088623,32
27,1698138078.3411024,190.2,0.0,71680,-0.000303827750030905,4.880859375,-119.63748931884766,-1.3786858320236206,-126.74302673339844,8.48421859741211,32
28,1698138084.5062838,195.2,0.0,74240,-0.00027602908085100353,5.295702934265137,160.73770141601562,-1.581047773361206,150.86111450195312,11.457648277282715,32
29,1698138091.1155915,200.2,0.0,76800,-0.00010593219485599548,4.039453029632568,-117.29573822021484,-1.6564921140670776,-122.22724914550781,6.5880022048950195,32
